code,name,market,type
A,Agilent Technologiesアジレント テクノロジーズ,NYSE,stock
AA,Alcoaアルコア,NYSE,stock
AADI,Aadi Biosciences Incアーディ バイオサイエンシズ,NASDAQ,stock
AAL,American Airlines Groupアメリカン航空,NASDAQ,stock
AAME,Atlantic American Corporationアトランティック アメリカン,NASDAQ,stock
AAMI,Acadian Asset Management Incアカディアン アセット マネジメント,NYSE,stock
AAOI,Applied Optoelectronicsアプライド オプトエレクトロニクス,NASDAQ,stock
AAON,AAONAAON,NASDAQ,stock
AAP,Advance Auto Partsアドバンス オート パーツ,NYSE,stock
AAPL,Appleアップル,NASDAQ,stock
ABBV,AbbVieアッヴィ,NYSE,stock
ABCB,Ameris Bancorpアメリス バンコープ,NASDAQ,stock
ABCL,AbCellera Biologics Incアブセレラ・バイオロジクス,NASDAQ,stock
ABEO,Abeona Therapeuticsアベオナ セラピューティクス,NASDAQ,stock
ABG,Asbury Automotive Groupアズベリー オートモーティブ グループ,NYSE,stock
ABL,Abacus Global Management Incアバカス グローバル マネジメント,NASDAQ,stock
ABM,ABM IndustriesABM インダストリーズ,NYSE,stock
ABNB,Airbnb Inc エアビー　アンド　ビー,NASDAQ,stock
ABOS,Acumen Pharmaceuticals Incアキュメン ファーマシューティカルズ,NASDAQ,stock
ABP,Abpro Holdings Incアブプロ ホールディングス,NASDAQ,stock
ABSI,Absci Corpアブサイ,NASDAQ,stock
ABT,Abbott Laboratoriesアボット ラボラトリーズ,NYSE,stock
ABTS,Abits Group Incアビッツ グループ,NASDAQ,stock
ABUS,Arbutus Biopharma Corporation アービュタス　バイオ　ファーマ,NASDAQ,stock
ABVC,ABVC BioPharma IncABVC バイオファーマ,NASDAQ,stock
ABVE,Above Food Ingredients Incアバブ フード イングリディエンツ,NASDAQ,stock
ACA,Arcosaアルコサ,NYSE,stock
ACAD,ACADIA Pharmaceuticalsアカディア ファーマシューティカルズ,NASDAQ,stock
ACB,Aurora Cannabis Inc オーロラ・カンナビス,NASDAQ,stock
ACCD,Accolade Incアコレード,NASDAQ,stock
ACCO,Acco Brandsアコ ブランズ,NYSE,stock
ACCS,ACCESS Newswire Incアクセス ニュースワイヤー,NYSE,stock
ACDC,ProFrac Holding Corp Aプロフラック ホールディング コープ A,NASDAQ,stock
ACEL,Accel Entertainment Incアクセル エンターテインメント,NYSE,stock
ACET,Adicet Bio Incアディセット バイオ,NASDAQ,stock
ACGL,Arch Capital Groupアーチ キャピタル グループ,NASDAQ,stock
ACHC,Acadia Healthcareアカディア ヘルスケア,NASDAQ,stock
ACHR,Archer Aviation Incアーチャー アビエーション,NYSE,stock
ACHV,Achieve Life Sciencesアチーブ ライフ サイエンシズ,NASDAQ,stock
ACI,Albertsons Cos Inc Aアルバートソンズ A,NYSE,stock
ACIC,American Coastal Insurance Corpアメリカン コースタル インシュアランス,NASDAQ,stock
ACIU,AC Immune SAAC イミューン,NASDAQ,stock
ACIW,ACI WorldwideACI ワールドワイド,NASDAQ,stock
ACLS,Axcelis Technologiesアクセリス テクノロジーズ,NASDAQ,stock
ACLX,Arcellx Incアクセルエックス,NASDAQ,stock
ACM,AECOMエーイーコム,NYSE,stock
ACMR,Acm Research Inc AACMリサーチ A,NASDAQ,stock
ACN,Accenture Aアクセンチュア A,NYSE,stock
ACNB,ACNBACNB,NASDAQ,stock
ACNT,Ascent Industries Coアセント インダストリー,NASDAQ,stock
ACRS,Aclaris Therapeuticsアクラリス セラピューティクス,NASDAQ,stock
ACST,Acasti Pharma Incアキャスティ ファーマ,NASDAQ,stock
ACTG,Acacia Researchアカシア リサーチ,NASDAQ,stock
ACU,Acme United Corporationｱｸﾒ･ﾕﾅｲﾃｯﾄﾞ,NYSE,stock
ACVA,ACV Auctions Inc AACVオークションズ A,NASDAQ,stock
ACXP,Acurx Pharmaceuticals Incアクルックス,NASDAQ,stock
ADBE,Adobeアドビ,NASDAQ,stock
ADCT,ADC Therapeutics SA ADC セラピューティクス,NYSE,stock
ADD,Color Star Technology Co Ltdカラー スター テクノロジー,NASDAQ,stock
ADEA,Adeia Incアデイア,NASDAQ,stock
ADGM,Adagio Medical Holdings Incアダジオ メディカル ホールディングス,NASDAQ,stock
ADI,Analog Devicesアナログ デバイセズ,NASDAQ,stock
ADIL,Adial Pharmaceuticals Incエディアル　ファーマシューティカルズ,NASDAQ,stock
ADM,Archer Daniels Midlandアーチャー ダニエルズ ミッドランド,NYSE,stock
ADMA,ADMA BiologicsADMA バイオロジックス,NASDAQ,stock
ADN,Advent Technologies Holdings Incアドベント　テクノロジーズ,NASDAQ,stock
ADNT,Adient Public Limited Companyアディエント,NYSE,stock
ADP,Automatic Data Processingオートマチック データ プロセシング,NASDAQ,stock
ADPT,Adaptive Biotechnologies Corpアダプティブ バイオテクノロジーズ,NASDAQ,stock
ADSE,Ads-Tec Energy Public Limited CompanyAds テック エナジー パブ,NASDAQ,stock
ADSK,Autodeskオートデスク,NASDAQ,stock
ADT,ADTADT,NYSE,stock
ADTH,AdTheorent Holding Company Incアドセオレント,NASDAQ,stock
ADTN,ADTRAN Holdings Incアドトラン ホールディングス,NASDAQ,stock
ADTX,Aditxt Incアディテクスト,NASDAQ,stock
ADUR,Aduro Clean Technologies Incアデュロ クリーン テクノロジーズ インク,NASDAQ,stock
ADUS,Addus HomeCareアダス ホームケア,NASDAQ,stock
ADV,Advantage Solutions Incアドバンテージ ソリューションズ,NASDAQ,stock
ADVM,Adverum Biotechnologies アドベラム バイオテクノロジーズ,NASDAQ,stock
AE,Adams Resources &amp; Energyアダムス リソーシズ アンド エナジー,NYSE,stock
AEE,Amerenアメレン,NYSE,stock
